Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
LNMETA_vs_BLOOD	1.03E+01	1.13E+01	1.71E+01	1.19E+01	8.94E+00	4.15E+00	2.62E+00	3.87E+00
LN_vs_BLOOD	5.32E+00	5.55E+00	6.35E+00	6.61E+00	2.62E+00	3.10E+00	4.38E+00	2.29E+00
OMEN_vs_BLOOD	4.90E+00	5.55E+00	7.67E+00	6.11E+00	4.41E+00	2.56E+00	1.47E+00	2.44E+00
PABKLN-01A_vs_PABKLN-11A	3.76E+00	4.26E+00	4.82E+00	4.41E+00	1.77E+00	1.92E+00	2.45E+00	1.82E+00
PADWRZ-01A_vs_PADWRZ-10A	3.19E+00	3.04E+00	2.74E+00	3.86E+00	1.44E+00	2.07E+00	9.58E-01	1.66E+00
PADYZI-01A_vs_PADYZI-10A	2.70E-01	0.00E+00	2.36E+00	0.00E+00	1.13E+00	0.00E+00	2.81E+00	1.01E+00
PAEHIP-01A_vs_PAEHIP-10A	5.11E-01	1.77E+00	1.71E+00	2.03E+00	8.90E-01	1.63E+00	7.61E-01	1.18E+00
PAJLWM-01A_vs_PAJLWM-11A	1.79E+00	2.33E+00	2.39E+00	2.50E+00	1.20E+00	1.66E+00	7.82E-01	9.93E-01
PAJMBW-01A_vs_PAJMBW-10A	1.98E+00	2.64E+00	2.40E+00	3.31E+00	1.10E+00	1.27E+00	2.59E+00	8.68E-01
PAJMRB-01A_vs_PAJMRB-11A	1.34E+00	2.10E+00	2.38E+00	1.91E+00	7.69E-01	1.86E+00	0.00E+00	7.83E-01
PAJNER-01A_vs_PAJNER-11A	1.86E+00	1.46E+00	2.66E+00	2.30E+00	5.92E-01	1.41E+00	6.60E-01	8.82E-01
PAJNFP-01A_vs_PAJNFP-11A	2.30E+00	3.91E+00	4.30E+00	4.84E+00	1.87E+00	1.78E+00	2.56E+00	1.98E+00
PAJNFZ-01A_vs_PAJNFZ-10A	2.84E+00	2.44E+00	2.84E+00	3.65E+00	1.02E+00	1.85E+00	1.98E+00	1.54E+00
PAKHTL-01A_vs_PAKHTL-11A	3.96E+00	5.11E+00	6.43E+00	3.91E+00	9.66E-01	2.71E+00	1.78E+00	1.99E+00
