Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
SJBT031948_D2_vs_SJBT031948_G1	2.48E+01	1.09E+01	2.51E+01	7.82E+00	3.54E+01	3.28E+00
SJBT032047_D1_vs_SJBT032047_G1	0.00E+00	1.77E-01	9.88E-02	8.98E-02	9.01E-02	1.04E-01
SJBT032346_D1_vs_SJBT032346_G1	2.98E+00	2.99E+00	1.18E+00	3.04E+00	2.06E+00	6.54E-01
SJBT032393_D1_vs_SJBT032393_G1	4.07E+00	3.24E+00	2.06E+00	3.56E+00	3.28E+00	8.37E-01
SJBT032417_D2_vs_SJBT032417_G1	1.96E-01	6.64E-01	4.93E-01	8.58E-01	4.48E-01	3.30E-01
SJBT033133_D3_vs_SJBT033133_G1	1.05E-01	2.63E-01	1.56E-01	3.01E-01	1.85E-01	0.00E+00
SJBT033236_D2_vs_SJBT033236_G1	5.41E-01	7.81E-01	4.50E-01	7.78E-01	5.52E-01	1.01E-01
SJBT034089_D1_vs_SJBT034089_G1	9.50E-02	2.49E-01	3.66E-01	4.41E-01	9.76E-02	0.00E+00
SJBT034110_D2_vs_SJBT034110_G1	1.28E+00	1.20E+00	5.34E-01	1.10E+00	1.18E+00	1.74E-01
SJMRT014754_D1_vs_SJMRT014754_G1	1.26E+01	3.57E+00	4.95E+00	2.68E+00	1.69E+01	1.21E+00
SJMRT015723_D1_vs_SJMRT015723_G1	3.04E+00	3.26E+00	1.08E+00	2.46E+00	3.62E+00	9.82E-01
SJMRT063832_X1_vs_SJMRT063832_G1	2.10E+01	6.64E+01	3.08E+01	7.57E+01	4.49E+01	6.74E+00
